ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
149,RUG Lands,Ozymandius17,Sneak & Show,Show & Tell,P,1,2,0,15,53%,7%,70%,8/7,League,
150,RUG Lands,Fu-chan,RUG Cascade,Brew,D,1,2,0,16,63%,8%,60%,8/7,League,
151,RUG Lands,wvusoccer,Moon Stompy,Chalice,P,1,2,0,5,40%,2%,50%,8/7,League,
152,RUG Lands,j_dom,Madness,Madness,P,2,0,1,7,71%,3%,60%,8/7,League,
153,RUG Lands,F,Merfolk,Tribal,P,2,0,1,22,73%,10%,60%,8/8,Weekly,
154,RUG Lands,Travis ,Delver,Brew,D,2,0,1,16,63%,8%,70%,8/8,Weekly,
155,RUG Lands,D,4c Control,Non-W Control,P,2,0,1,8,75%,4%,70%,8/8,Weekly,
156,RUG Lands,Pax,Lands,Lands,P,2,0,1,8,63%,4%,70%,8/8,Weekly,
157,RUG Lands,Mr_VVizard,Urza Echo,Artifact Storm,D,0,2,0,4,25%,2%,60%,8/9,League,
158,RUG Lands,bigzoholl,Slow Depths,BGx Depths,P,2,0,1,3,67%,1%,60%,8/9,League,
159,RUG Lands,faustosouza,UR Delver,Delver,D,2,0,1,24,88%,11%,70%,8/9,League,
160,RUG Lands,btraut,Aluren,Combo-Control,P,1,2,0,5,20%,2%,70%,8/9,League,
161,RUG Lands,otaba,Aluren,Combo-Control,P,0,2,0,5,20%,2%,70%,8/9,League,
162,RUG Lands,Stef,Painter,Painter,P,2,0,1,6,67%,3%,70%,8/12,Weekly,
163,RUG Lands,Raul,Reanimator,Brew,P,2,1,1,16,63%,8%,70%,8/12,Weekly,
164,RUG Lands,Bao,Death & Taxes,White Creatures,D,2,0,1,7,71%,3%,70%,8/12,Weekly,
165,RG Lands,AdmiralVortex,5c Niv Domain,Brew,P,2,0,1,16,63%,8%,70%,8/14,Tournament,
166,RG Lands,otaba,Aluren,Combo-Control,P,1,2,0,5,20%,2%,60%,8/14,Tournament,
167,RG Lands,diddymuse,G Cloudpost,Big Mana,D,0,2,0,9,56%,4%,60%,8/14,Tournament,
168,RG Lands,Gernardi,UWx Control,UW,D,2,1,1,16,69%,8%,60%,8/14,Tournament,
169,RG Lands,Angers,G Cloudpost,Big Mana,D,1,2,0,9,56%,4%,50%,8/14,Tournament,
170,RG Lands,vllprf,G Cloudpost,Big Mana,D,2,0,1,9,56%,4%,60%,8/14,Tournament,
171,RG Lands,shiromuni,Death & Taxes,White Creatures,P,2,1,1,7,71%,3%,70%,8/14,Tournament,
172,RG Lands,Chryndamere,UWx Control,UW,P,2,0,1,16,69%,8%,70%,8/14,League,
173,RG Lands,naosukesamurai,Maverick,Knight,P,0,2,0,4,25%,2%,60%,8/14,League,
174,RG Lands,sylwesterstruzyna,Infect,Infect,P,1,2,0,2,0%,1%,50%,8/14,League,
175,RG Lands,cocoa_black,Goblins,Tribal,D,0,2,0,22,73%,10%,40%,8/14,League,
176,RG Lands,ayukawa,UWx Control,UW,D,1,2,0,16,69%,8%,40%,8/14,League,
177,RG Lands,thedanisaur,BR Reanimator,Graveyard,P,1,2,0,11,73%,5%,40%,8/16,League,
178,RG Lands,DivaDan,Lands,Lands,P,2,1,1,8,63%,4%,40%,8/16,League,
179,RG Lands,joefisher,UR Superfriends,Brew,D,0,2,0,16,63%,8%,40%,8/16,League,
180,RG Lands,NovaT28,GW Depths,GW Depths,P,2,0,1,9,67%,4%,40%,8/16,League,
181,RG Lands,aaadawgie,UG Painter,Brew,D,1,2,0,16,63%,8%,30%,8/16,League,
182,RUG Lands,Lee,Jeskai Delver,Delver,D,2,0,1,24,88%,11%,30%,8/19,Weekly,
183,RUG Lands,Kyle,Lands,Lands,D,2,0,1,8,63%,4%,40%,8/19,Weekly,
184,RUG Lands,James,Pox,Pox,D,2,0,1,7,100%,3%,50%,8/19,Weekly,
185,RG Saga Lands,ayukawa,Jeskai Delver,Delver,D,2,0,1,24,88%,11%,60%,8/21,Tournament,
186,RG Saga Lands,mei0024,UR Delver,Delver,D,2,0,1,24,88%,11%,70%,8/21,Tournament,
187,RG Saga Lands,Sahakvic,Jeskai Tempo,Jeskai Tempo,D,2,1,1,4,75%,2%,80%,8/21,Tournament,
188,RG Saga Lands,Didackith,GW Depths,GW Depths,P,1,2,0,9,67%,4%,70%,8/21,Tournament,
189,RG Saga Lands,ReformedPaolo,UR Delver,Delver,D,2,0,1,24,88%,11%,80%,8/21,Tournament,
190,RG Saga Lands,medvedev,Moon Stompy,Chalice,P,2,1,1,5,40%,2%,80%,8/21,Tournament,
191,RG Saga Lands,EronRelentless,Elves,Tribal,D,2,0,1,22,73%,10%,90%,8/21,Tournament,
192,RG Saga Lands,Didackith,GW Depths,GW Depths,P,2,1,1,9,67%,4%,90%,8/21,Tournament,
193,RG Saga Lands,emurakirin,Colorless Cloudpost,Big Mana,P,2,1,1,9,56%,4%,90%,8/21,Tournament,
194,RG Saga Lands,ZYURYO,Jeskai Tempo,Jeskai Tempo,P,0,2,0,4,75%,2%,80%,8/21,Tournament,
195,Jund Lands,Pax,Lands,Lands,P,1,2,0,8,63%,4%,70%,8/22,Weekly,
196,Jund Lands,Matthew,UR Delver,Delver,D,2,1,1,24,88%,11%,70%,8/22,Weekly,
197,Jund Lands,Josh W,Ninjas,Ninjas,P,2,1,1,2,50%,1%,70%,8/22,Weekly,
198,RG Saga Lands,HerrGevatter,Sneak & Show,Show & Tell,P,2,1,1,15,53%,7%,80%,8/25,League,
199,RG Saga Lands,Alexander5455,Doomsday,Doomsday,P,2,1,1,5,60%,2%,80%,8/25,League,
200,RG Saga Lands,jr272,Doomsday,Doomsday,D,2,1,1,5,60%,2%,80%,8/25,League,
201,RG Saga Lands,Chitose88N,Goblins,Tribal,D,2,0,1,22,73%,10%,80%,8/25,League,
202,RG Saga Lands,Morphling401,UR Delver,Delver,D,2,1,1,24,88%,11%,80%,8/25,League,
203,BG Tireless Lands,Aaron,Food Chain,Combo-Control,D,1,2,0,5,20%,2%,70%,8/26,Weekly,
204,BG Tireless Lands,Josh W,Doomsday,Doomsday,D,2,0,1,5,60%,2%,80%,8/26,Weekly,
205,BG Tireless Lands,James,Pox,Pox,D,2,0,1,7,100%,3%,90%,8/26,Weekly,
206,RG Saga Lands,Shade_Scorpion,GW Depths,GW Depths,D,2,0,1,9,67%,4%,90%,8/28,Tournament,
207,RG Saga Lands,shiromuni,Death & Taxes,White Creatures,P,1,2,0,7,71%,3%,80%,8/28,Tournament,
208,RG Saga Lands,tarksar1990,GW Depths,GW Depths,D,2,1,1,9,67%,4%,80%,8/28,Tournament,
209,RG Saga Lands,wangyuguang453,Miracles,UW,P,2,0,1,16,69%,8%,80%,8/28,Tournament,
210,RG Saga Lands,_INF_,Bant Control,UW,P,2,0,1,16,69%,8%,80%,8/28,Tournament,
211,RG Saga Lands,Yamaro,BUG Control,Non-W Control,P,2,1,1,8,75%,4%,80%,8/28,Tournament,
212,RG Saga Lands,MaxMagicer,UR Delver,Delver,P,2,1,1,24,88%,11%,80%,8/28,Tournament,
213,RG Saga Lands,ht991122,Sneak & Show,Show & Tell,P,0,2,0,15,53%,7%,80%,8/28,Tournament,
