ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
615,Jund Lands,Gray,Deadguy Ale,Brew,P,2,0,1,125,58%,16%,60%,10/5/2020,Weekly,
616,Jund Lands,Deathbyfire2008,Hogaak,Graveyard,P,2,0,1,66,65%,8%,70%,10/19,Practice,
617,Jund Lands,pagan20,BUG Control,Non-W Control,P,1,2,0,59,63%,7%,60%,10/20,League,
618,Jund Lands,kimkaphwan42,Death & Taxes,White Creatures,D,2,0,1,35,66%,4%,60%,10/20,League,
619,Jund Lands,Slasher21,Astrolabe Control,Non-W Control,P,2,1,1,59,63%,7%,60%,10/20,League,
620,Jund Lands,VeryAngryPanda,MUD,Brew,D,0,2,0,125,58%,16%,50%,10/20,League,
621,Jund Lands,MrApple65,UWx Control,UW,D,2,1,1,41,44%,5%,50%,10/20,League,
622,Jund Lands,ericfaceplant,Dredge,Graveyard,P,2,0,1,66,65%,8%,60%,10/23,Practice,
623,Jund Lands,insie,Lands,Lands,P,1,0,1,14,57%,2%,70%,10/23,Practice,UG; they dropped out after g1
624,Jund Lands,Shotty2hottie512,RUG Delver,Delver,D,2,0,1,111,58%,14%,80%,10/23,League,
625,Jund Lands,tomjab,Omnishow,Show & Tell,D,2,1,1,30,40%,4%,80%,10/25,League,
626,Jund Lands,champ_n,Esper Vial,White Creatures,P,2,1,1,35,66%,4%,80%,10/25,League,
627,Jund Lands,wakarock,RUG Delver,Delver,D,2,0,1,111,58%,14%,90%,10/25,League,
628,Jund Lands,LordAbyss,Colorless Cloudpost,Big Mana,P,2,1,1,24,83%,3%,90%,10/25,League,
629,RUG Lands,MlkmnRob,G Cloudpost,Big Mana,D,2,0,1,24,83%,3%,90%,10/25,Practice,
630,RUG Lands,JustWhie,BUG Pox,Brew,D,2,1,1,125,58%,16%,100%,10/25,League,
631,RUG Lands,GreatFilter,Death's Shadow,Delver,D,2,1,1,111,58%,14%,100%,10/25,League,
632,RUG Lands,tonyw36,RUG Delver,Delver,D,0,2,0,111,58%,14%,90%,10/25,League,
633,RUG Lands,Matrijx,Doomsday,Doomsday,P,0,2,0,19,58%,2%,80%,10/25,League,
634,RUG Lands,mourning palace,Oops,Storm,D,0,2,0,54,35%,7%,70%,10/25,League,
635,Jund Lands,Maniac3130,RUG Delver,Delver,D,2,0,1,111,58%,14%,70%,10/27,League,
636,Jund Lands,SamuraiFunn,Urza,Brew,D,2,0,1,125,58%,16%,70%,10/30,League,
637,Jund Lands,Koike,Nic Fit,Nic Fit,D,1,2,0,8,88%,1%,60%,10/31,League,
638,Jund Lands,salvatorix,Elves,Tribal,D,2,1,1,63,78%,8%,60%,10/31,League,
639,Jund Lands,mylast,RUG Delver,Delver,P,0,2,0,111,58%,14%,50%,10/31,League,
640,RUG Lands,SuperJoschi,Astrolabe Control,Non-W Control,D,2,1,1,59,63%,7%,50%,11/8,League,
641,RUG Lands,BoneDaddy99,Turbo Depths,BGx Depths,D,2,0,1,16,38%,2%,50%,11/8,League,
642,RUG Lands,utopica_mycon,Spirits,Brew,D,2,0,1,125,58%,16%,60%,11/9,League,
643,RUG Lands,Pokemoki,RUG Stifle,Brew,P,2,1,1,125,58%,16%,70%,11/9,League,
644,RUG Lands,ragnarboy,Infect,Infect,D,1,2,0,10,60%,1%,70%,11/9,League,
645,RUG Lands,kuriroy2567,Painter,Painter,D,1,2,0,10,40%,1%,60%,11/12,League,
646,RUG Lands,ctuck999,Maverick,Knight,D,0,2,0,33,52%,4%,50%,11/12,League,
647,RUG Lands,iamawizard,Sneak & Show,Show & Tell,D,2,1,1,30,40%,4%,60%,11/12,League,
648,RUG Lands,Jadacant,Dice Factory,Brew,P,0,2,0,125,58%,16%,50%,11/14,League,
649,RUG Lands,tapedecky,Astrolabe Control,Non-W Control,P,2,0,1,59,63%,7%,60%,11/14,League,
650,BG Algae Lands,dbartelme17,Death's Shadow,Delver,D,1,2,0,111,58%,14%,50%,11/14,League,
651,BG Algae Lands,rofelos,Humans,Tribal,D,2,1,1,63,78%,8%,50%,11/14,League,
652,BG Algae Lands,ayukawa,Hogaak,Graveyard,P,1,2,0,66,65%,8%,40%,11/14,League,
653,BG Algae Lands,fangzie,Doomsday,Doomsday,D,2,1,1,19,58%,2%,40%,11/14,League,
654,BG Algae Lands,NathanLipetz,4c Loam,Knight,P,0,2,0,33,52%,4%,40%,11/14,League,
655,BG Algae Lands,ragnarboy,Hypergenesis,Brew,D,1,2,0,125,58%,16%,40%,11/16,League,
656,BG Algae Lands,kaziku,RUG Stifle,Brew,P,0,2,0,125,58%,16%,40%,11/16,League,
657,BG Algae Lands,jfrantz,Hogaak,Graveyard,P,1,2,0,66,65%,8%,30%,11/16,League,
658,BG Algae Lands,thelegitpony666,ANT,Storm,D,0,2,0,54,35%,7%,30%,11/18,League,
659,RUG Lands,tarksar1990,RUG Delver,Delver,P,2,0,1,111,58%,14%,30%,11/18,League,
660,RUG Lands,AnziD,Astrolabe Control,Non-W Control,D,2,1,1,59,63%,7%,40%,11/19,League,
661,RUG Lands,Felidae_,Ninjas,Ninjas,P,1,2,0,4,75%,1%,30%,11/20,League,
662,RUG Lands,slod,Astrolabe Control,Non-W Control,P,0,2,0,59,63%,7%,30%,11/20,League,
663,RUG Lands,Samu_27,Hogaak,Graveyard,D,2,1,1,66,65%,8%,30%,11/20,League,
664,Jund Lands,BalenciagaNBoba,UWx Control,UW,P,0,2,0,41,44%,5%,30%,11/24,League,
665,Jund Lands,jcknox,Grixis Control,Non-W Control,D,2,0,1,59,63%,7%,40%,11/24,League,
666,Jund Lands,palk52,Turbo Depths,BGx Depths,P,0,2,0,16,38%,2%,40%,11/24,League,
667,Jund Lands,ShamwowFella,RUG Delver,Delver,D,1,2,0,111,58%,14%,40%,11/24,League,
668,WURG Lands,WotC_VNDR_StevenM,4c Loam,Knight,D,0,2,0,33,52%,4%,,1/27,Practice,
669,WURG Lands,R_emy,BUG Control,Non-W Control,P,2,0,1,59,63%,7%,,1/27,Practice,
670,WURG Lands,ye.50,BR Stuff,Brew,D,2,0,1,125,58%,16%,,2/4,Practice,
671,WURG Lands,PureAdonis,Goblins,Tribal,P,1,0,1,63,78%,8%,,2/4,Practice,
672,WURG Lands,MathiasHardStyle,Curses,Brew,D,1,2,0,125,58%,16%,,2/4,Practice,
673,WURG Lands,MathiasHardStyle,Curses,Brew,D,1,2,0,125,58%,16%,,2/4,Practice,
674,WURG Lands,Samm79,Doomsday,Doomsday,P,1,2,0,19,58%,2%,,2/4,Practice,
675,Jund Lands,SDBobPlissken,Painter,Painter,D,2,0,1,10,40%,1%,,2/11,Practice,
676,Jund Lands,Pezui,Grixis Control,Non-W Control,D,2,0,1,59,63%,7%,,2/11,Practice,
677,Jund Lands,Samm79,Tin Fins,Graveyard,P,1,2,0,66,65%,8%,50%,2/11,Practice,
678,RGu Lands,Webmaster,Maverick,Knight,D,2,0,1,33,52%,4%,,2/17,Practice,
679,RGu Lands,HNMagician,TES,Storm,P,2,0,1,54,35%,7%,,2/17,League,
680,RGu Lands,jfrantz,Moon,Brew,P,1,2,0,125,58%,16%,,2/17,League,
681,RGu Lands,GR_DONKIN,Grixis Phoenix,Brew,P,2,0,1,125,58%,16%,,2/17,League,
682,RGu Lands,BalenciagaNBoba,Maverick,Knight,P,2,0,1,33,52%,4%,,2/17,League,
683,RGu Lands,danielnunes,Slivers,Tribal,P,1,2,0,63,78%,8%,,2/17,League,
684,Jund Lands,HNMagician,Tin Fins,Graveyard,D,2,1,1,66,65%,8%,,2/18,League,
685,Jund Lands,BalenciagaNBoba,UWx Stoneblade,UW,P,1,2,0,41,44%,5%,,2/18,League,
686,Jund Lands,Caedyrn,Goblins,Tribal,P,2,1,1,63,78%,8%,,2/18,League,
687,Jund Lands,Theinertmas,Burn,Burn,P,0,2,0,16,63%,2%,60%,2/18,League,
688,Jund Lands,Caedyrn,Goblins,Tribal,P,2,1,1,63,78%,8%,60%,2/18,League,
689,RGu Lands,sf45,Burn,Burn,D,2,1,1,16,63%,2%,60%,2/18,League,
690,RG Lands,Carlos,Deadguy Ale,Brew,P,2,0,1,125,58%,16%,70%,2/22,Weekly,
691,RG Lands,Kevin K,UWx Stoneblade,UW,D,1,2,0,41,44%,5%,60%,2/22,Weekly,
692,RG Lands,Nishant,Goblins,Tribal,P,1,2,0,63,78%,8%,50%,2/22,Weekly,
693,RG Lands,dietz67,UR Delver,Delver,D,1,2,0,111,58%,14%,50%,2/24,League,
694,RG Lands,Stryfo,Stryfo Pile,Non-W Control,P,0,2,0,59,63%,7%,40%,2/24,League,
695,RG Lands,IronicGentleman,High Tide,Storm,D,2,1,1,54,35%,7%,50%,2/24,League,
696,RG Lands,stvvvv,Rogues,Brew,P,2,0,1,125,58%,16%,50%,2/24,League,
697,RG Lands,haimu,Hogaak,Graveyard,D,2,0,1,66,65%,8%,60%,2/24,League,
698,RG Lands,MrKaleb,Death & Taxes,White Creatures,P,2,0,1,35,66%,4%,60%,2/26,Practice,
699,RG Lands,ello_baron,Humans,Tribal,D,2,0,1,63,78%,8%,60%,2/26,Practice,
700,RG Lands,flabberjiggles,Painter,Painter,D,1,2,0,10,40%,1%,50%,2/27,Practice,
701,RG Lands,Brutol,Greater Good Combo,Brew,P,2,1,1,125,58%,16%,60%,2/27,Practice,
702,RG Lands,Maniac3130,UR Delver,Delver,P,2,1,1,111,58%,14%,70%,2/27,League,
703,RG Lands,RedLibrary,Burn,Burn,P,2,0,1,16,63%,2%,80%,2/28,League,
704,RG Lands,Alesha_,RUG Midrange,Brew,P,1,2,0,125,58%,16%,80%,2/28,League,
705,RG Lands,Reyun,Sneak & Show,Show & Tell,P,2,1,1,30,40%,4%,80%,2/28,League,
706,RG Lands,Woooter,Miracles,UW,P,2,1,1,41,44%,5%,80%,2/28,League,
707,RG Lands,Gavin,UWx Stoneblade,UW,P,2,1,1,41,44%,5%,80%,3/1,Weekly,
708,RG Lands,Kevin C,Mill,Brew,D,2,1,1,125,58%,16%,80%,3/1/2021,Weekly,
709,RG Lands,Kevin K,UWx Stoneblade,UW,D,2,0,1,41,44%,5%,80%,3/1/2021,Weekly,
710,Naya Lands,mcguirecj,Black Prison,Brew,D,2,0,1,125,58%,16%,90%,3/4/2021,Practice,
711,Naya Lands,edc26,UWx Stoneblade,UW,P,2,1,1,41,44%,5%,90%,3/4/2021,Practice,
712,Naya Lands,yabish,UWx Control,UW,D,1,2,0,41,44%,5%,80%,3/5/2021,League,
713,Naya Lands,hundinggjornersen,Yorion Land Stuff,Brew,D,0,2,0,125,58%,16%,70%,3/5/2021,League,
714,Naya Lands,hide1984,Omnishow,Show & Tell,P,1,2,0,30,40%,4%,70%,3/5/2021,League,
715,Naya Lands,TheHollywoodMK,Red Karn,Brew,P,1,2,0,125,58%,16%,60%,3/5/2021,League,
716,CI Bant Lands,sppudzz2,Grixis Control,Non-W Control,P,2,0,1,59,63%,7%,60%,3/10/2021,Practice,"They played 5 lands in 2 games, and 2 were duals that I wasted right away"
717,Gaak Lands,RDW65,Goblins,Tribal,P,0,2,0,63,78%,8%,50%,3/11/2021,Practice,
718,Gaak Lands,Ilemois,BUG Control,Non-W Control,P,2,0,1,59,63%,7%,50%,3/11/2021,Practice,
719,CI Bant Lands,Trotter_650,Grixis Phoenix,Brew,D,1,2,0,125,58%,16%,40%,3/11/2021,Practice,
720,CI Bant Lands,JS2,UWx,Brew,P,0,2,0,125,58%,16%,30%,3/11/2021,League,
721,CI Bant Lands,hide1984,UR Delver,Delver,D,1,2,0,111,58%,14%,20%,3/11/2021,League,
722,CI Bant Lands,hutomoto,4c Delver,Delver,P,2,0,1,111,58%,14%,30%,3/11/2021,League,
723,CI Bant Lands,FrancisYorkMorgan,Miracles,UW,D,2,0,1,41,44%,5%,40%,3/11/2021,League,
724,CI Bant Lands,AttemptedRationalism,Urza,Brew,P,2,1,1,125,58%,16%,50%,3/11/2021,League,
725,Jund Lands,WhiteFaces,Grixis Phoenix,Brew,P,2,0,1,125,58%,16%,60%,3/12/2021,Tournament,
726,Jund Lands,HJ_Kaiser,RUG Delver,Delver,D,2,1,1,111,58%,14%,60%,3/12/2021,Tournament,
727,Jund Lands,into_play,G Cloudpost,Big Mana,P,2,0,1,24,83%,3%,70%,3/12/2021,Tournament,
728,Jund Lands,Angers,G Cloudpost,Big Mana,D,0,2,0,24,83%,3%,60%,3/12/2021,Tournament,
729,Jund Lands,Masumaro,Titan Stompy,Brew,P,1,2,0,125,58%,16%,60%,3/12/2021,Tournament,
730,Jund Lands,umeck,UB Control,Non-W Control,D,1,2,0,59,63%,7%,60%,3/12/2021,Tournament,
731,Jund Lands,ReformedPaolo,RUG Delver,Delver,D,2,1,1,111,58%,14%,70%,3/12/2021,Tournament,
732,Jund Lands,eido0619,UR Delver,Delver,D,1,2,0,111,58%,14%,60%,3/14/2021,Practice,
733,Jund Lands,FrancisYorkMorgan,Miracles,UW,P,2,1,1,41,44%,5%,60%,3/14/2021,League,
734,RG Lands,Nishant,Goblins,Tribal,P,2,0,1,63,78%,8%,60%,3/15/2021,Weekly,
735,RG Lands,Cosmo K,Food Chain,Combo-Control,D,1,2,0,7,43%,1%,50%,3/15/2021,Weekly,
736,RG Lands,Chris T,Maverick,Knight,D,0,2,0,33,52%,4%,40%,3/15/2021,Weekly,
737,Jund Lands,Ramp,RUG Delver,Delver,P,2,1,1,111,58%,14%,40%,3/15/2021,League,
738,Jund Lands,bcs8995,UWx Stoneblade,UW,P,2,1,1,41,44%,5%,50%,3/18/2021,League,
739,Jund Lands,Twitch_Chat,Hogaak,Graveyard,D,1,2,0,66,65%,8%,50%,3/18/2021,League,
740,Jund Lands,Dr_Brain_Pepper,Eldrazi Stompy,Chalice,P,2,1,1,28,57%,4%,60%,3/18/2021,League,
741,RG Lands,IleNosirrah,Goblins,Tribal,D,2,1,1,63,78%,8%,60%,4/5/2021,League,
742,RG Lands,AJV20,Aluren,Combo-Control,D,2,1,1,7,43%,1%,70%,4/7/2021,League,
743,RG Lands,dancingdress,Painter,Painter,P,2,0,1,10,40%,1%,70%,4/7/2021,League,
744,RG Lands,magisoupie,Gyruda,Brew,D,2,0,1,125,58%,16%,70%,4/7/2021,League,
745,RG Lands,Apeliotes,Doomsday,Doomsday,P,2,1,1,19,58%,2%,80%,4/7/2021,League,
746,RG Lands,motown4,Burn,Burn,D,2,0,1,16,63%,2%,90%,4/8/2021,Practice,
747,RG Lands,chrolony,Infect,Infect,P,2,0,1,10,60%,1%,90%,4/9/2021,League,
748,RG Lands,Carlos,Humans,Tribal,D,2,0,1,63,78%,8%,90%,4/12/2021,Weekly,
749,RG Lands,Kevin K,UWx Stoneblade,UW,P,2,0,1,41,44%,5%,100%,4/12/2021,Weekly,
750,RG Lands,basuta,Moon Stompy,Chalice,D,0,2,0,28,57%,4%,90%,4/13/2021,League,
751,RG Lands,SingPanMan,Blue Bazaar,Brew,D,2,0,1,125,58%,16%,90%,4/13/2021,League,
752,RG Lands,t3hdh,UR Delver,Delver,D,2,0,1,111,58%,14%,90%,4/13/2021,League,
753,RG Lands,malotru,Sneak & Show,Show & Tell,P,1,2,0,30,40%,4%,80%,4/13/2021,League,
754,RG Lands,Rob,Death's Shadow,Delver,P,2,1,1,111,58%,14%,80%,4/17/2021,Weekly,
755,RG Lands,Ivan ,Death & Taxes,White Creatures,D,2,0,1,35,66%,4%,80%,4/17/2021,Weekly,
756,RG Lands,Nathaniel,Death & Taxes,White Creatures,D,2,1,1,35,66%,4%,80%,4/17/2021,Weekly,
757,RG Lands,Nathaniel,Death & Taxes,White Creatures,P,0,2,0,35,66%,4%,70%,4/25/2021,Weekly,
758,RG Lands,Nate C,Reanimator,Brew,D,2,1,1,125,58%,16%,70%,4/25/2021,Weekly,
759,RG Lands,Bishop,Elves,Tribal,D,2,1,1,63,78%,8%,70%,4/26/2021,Weekly,
760,RG Lands,Nathaniel,Death & Taxes,White Creatures,D,1,2,0,35,66%,4%,70%,5/2/2021,Weekly,
761,RG Lands,Nate C,Nic Fit,Nic Fit,D,2,1,1,8,88%,1%,70%,5/2/2021,Weekly,
762,RG Lands,Dustin,UR Control,Brew,D,2,1,1,125,58%,16%,70%,5/2/2021,Weekly,
763,RG Lands,Larry,Sneak & Show,Show & Tell,D,2,1,1,30,40%,4%,80%,5/5/2021,Weekly,
764,RGu Lands,grumsh,Goblins,Tribal,D,0,2,0,63,78%,8%,70%,5/6/2021,League,
765,RGu Lands,scoobylou,Elves,Tribal,P,2,1,1,63,78%,8%,70%,5/6/2021,League,
766,RGu Lands,fishduggery,Bug Witherbloom,Brew,P,2,1,1,125,58%,16%,70%,5/6/2021,League,
767,RG Lands,Steff,Mystic Forge ,Brew,P,1,2,0,125,58%,16%,70%,5/9/2021,Weekly,
768,RG Lands,Nick,UWx Control,UW,D,2,1,1,41,44%,5%,70%,5/9/2021,Weekly,
769,RG Lands,Josh,Humans,Tribal,P,2,1,1,63,78%,8%,70%,5/9/2021,Weekly,
770,RGu Lands,MeTheKaptain,PitA Storm,Brew,D,0,2,0,125,58%,16%,70%,5/13/2021,League,
771,RGu Lands,Telperion Kandu,UR Delver,Delver,P,2,1,1,111,58%,14%,70%,5/13/2021,League,
772,RG Lands,chrisco3622,Moon Stompy,Chalice,P,0,2,0,28,57%,4%,60%,5/20,League,
773,RG Lands,demonbarber,GW Depths,GW Depths,P,2,0,1,4,50%,1%,60%,5/20,League,
774,RG Lands,scoobylou,Elves,Tribal,D,2,1,1,63,78%,8%,70%,5/20,League,
775,RG Lands,Yokel,ANT,Storm,P,0,2,0,54,35%,7%,60%,5/20,League,
776,RG Lands,,UWx Stoneblade,UW,P,0,2,0,41,44%,5%,50%,5/20,League,
777,RG Lands,Mitch,Doomsday,Doomsday,D,2,0,1,19,58%,2%,60%,5/23,Weekly,
778,RG Lands,satorri,UR Delver,Delver,P,2,0,1,111,58%,14%,60%,5/29,Tournament,
779,RG Lands,Karns_Blueprints,UR Delver,Delver,D,2,1,1,111,58%,14%,60%,5/29,Tournament,
780,RG Lands,Pieson,UR Delver,Delver,D,2,1,1,111,58%,14%,70%,5/29,Tournament,
781,RG Lands,mmapson125,GW Depths,GW Depths,P,2,1,1,4,50%,1%,70%,5/29,Tournament,
782,RG Lands,learntolove6,UR Delver,Delver,D,2,0,1,111,58%,14%,80%,5/29,Tournament,
783,RG Lands,wonderPreaux,Doomsday,Doomsday,D,1,2,0,19,58%,2%,70%,5/29,Tournament,
784,RG Lands,albertosd,UR Delver,Delver,D ,1,2,0,111,58%,14%,60%,5/29,Tournament,
785,RG Lands,Carlos,Pox,Pox,D,2,0,1,3,100%,0%,70%,5/31,Weekly,
786,RG Lands,Chris T,Maverick,Knight,P,2,1,1,33,52%,4%,80%,5/31,Weekly,
787,RG Lands,Grayson,Colorless Cloudpost,Big Mana,D,2,0,1,24,83%,3%,80%,5/31,Weekly,
