ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
287,Jund Lands,ironclaw2016,Belcher,Storm,D,2,1,1,54,35%,7%,50%,3/25/2020,League,
288,Jund Lands,Peter N,Merfolk,Tribal,D,0,2,0,63,78%,8%,50%,3/26/2020,Tournament,
289,RUG Lands,Light_Walker,UR Delver,Delver,D,0,2,0,111,58%,14%,40%,3/27,League,
290,RUG Lands,mooseh_boy,UB Delver,Delver,D,2,1,1,111,58%,14%,40%,3/27,League,
291,RUG Lands,Eduardo_moura,BR Reanimator,Graveyard,P,2,0,1,66,65%,8%,50%,3/27,League,
292,RUG Lands,isthetim,Lands,Lands,D,1,2,0,14,57%,2%,50%,3/27,League,
293,RUG Lands,Beest,Sylvan Plug,Brew,D,2,0,1,125,58%,16%,60%,3/27,League,
294,RUG Lands,DethFrmAbove,Elves,Tribal,D,2,1,1,63,78%,8%,60%,3/27,League,
295,BUG Lands,Janosh12345,Death & Taxes,White Creatures,D,2,0,1,35,66%,4%,70%,3/27,League,
296,BUG Lands,yosoyez,Humans,Tribal,P,2,1,1,63,78%,8%,70%,3/27,League,
297,BUG Lands,jtl005,Esper Vial,White Creatures,D,2,1,1,35,66%,4%,70%,3/27,League,
298,BUG Lands,ewlandon,BR Reanimator,Graveyard,D,0,2,0,66,65%,8%,70%,3/27,League,
299,BUG Lands,LewisCBR,RUG Delver,Delver,P,1,2,0,111,58%,14%,70%,3/27,League,
300,BUG Lands,Steff ,BUG Zenith Oko,Brew,P,2,0,1,125,58%,16%,70%,3/27,Practice,
301,BUG Lands,Peter N,Death & Taxes,White Creatures,D,2,0,1,35,66%,4%,70%,3/31,Tournament,
302,BUG Lands,Villela,Jund,Jund,D,2,1,1,3,100%,0%,80%,3/31,League,
303,BUG Lands,D3ADGUY,4c Loam,Knight,P,2,1,1,33,52%,4%,80%,3/31,League,
304,BUG Lands,LILwwaaang,Hogaak,Graveyard,P,2,0,1,66,65%,8%,80%,3/31,League,
305,BUG Lands,jfrantz,UR Delver,Delver,P,1,2,0,111,58%,14%,70%,3/31,League,
306,BUG Lands,reggieb06,UB Reanimate,Graveyard,D,2,1,1,66,65%,8%,70%,3/31,League,
